# configuration:
# cpol cpha
1 0
# ckdiv nbits data_block write(1)/read(0)
0001 30 ba9876543210 1
0002 30 fedcba987654 1
0003 30 ba9876543210 0
0004 30 fedcba987654 0
0005 30 2847239121ab 1
0006 30 ffffffffffff 1
0007 30 000000000000 0
0008 30 aaaaaaaaaaaa 0
000f 04 f00000000000 1
001f 08 ef0000000000 1
002f 0c def000000000 0
003f 10 cdef00000000 0
004f 14 bcdef0000000 1
005f 18 abcdef000000 1
006f 1c 9abcdef00000 0
007f 20 89abcdef0000 0
0004 30 889000000000 1
0004 30 300000000000 1
0004 30 089000000000 0
0004 10 fedc00000000 1
0004 10 ba9800000000 1
0004 10 765400000000 0
0004 10 321000000000 0
0004 10 284700000000 1
0004 10 ffff00000000 1
0004 10 000000000000 0
0004 10 aaaa00000000 0
0003 10 0abc00000000 1
0003 10 8def00000000 1
